names,course_id,units,description,learning_outcome
Policy and Politics an International Perspective,90713,12," The goal of this course is to examine critical foreign policy issues and actors. The first section will focus on critical issues in the Middle East including the 2011 uprisings and their consequences for the region as well as U.S. relations with selected Middle Eastern countries. U.S. relations with Pakistan, India and Afghanistan will be briefly analyzed as well. The section on China will provide a detailed analysis of Chinese foreign policy and China’s transformation into a major international power in the last thirty years. This section will focus on China’s strategic and national security policies, China’s role in the world economy, and China’s relations with the U.S., Taiwan, Japan, S. and N. Korea. The current conflicts in the S. China Sea and U.S., Chinese and S. East Asian policies in this critical region will be analyzed as well. The last section of the course will discuss Russia’s role in the international economic and political system, U.S. and China relations with Africa and Latin America and the Obama Doctrine.","Learning Outcomes: At the end of the course the students are expected to have acquired: a) The main analytic methods and approaches used in international relations. b) In depth knowledge of the nature of the Chinese government, its approach to foreign policy, as well as China’s impact on the world political and economic systems c) In depth knowledge of major issues affecting the Middle East and the U.S. role in that region d) The nature and impact of the conflicts in the South China Sea e) Major problems affecting the international position and power of Russia, and Latin American and African countries’ relations with China and the U.S."
Policy And Politics In American Political Institutions,90714,12," The purpose of this course is to study the structure of the American government, the main actors in the policy process, as well as critical policy issues. The emphasis will be on the study of the central political institutions: The Presidency and Congress, as well as critical decisions of the Supreme Court and their societal impact. The course will also emphasize the analysis of critical socio-economic policies including social and educational policies, among others. We will also analyze Supreme Court decisions regarding minorities’ rights, gender issues, and voting rights among others. Throughout the course students will be encouraged to analyze and discuss the evolution of key political and policy issues. We will place special emphasis on the interactions between government and society and the role of social and interest groups in the process.",
Writing for Public Policy,90717,6," Communication in written form is an essential element of being a public policy professional. Writing for consulting firms, government agencies, think tanks, advocacy groups, industry associations, and other contexts in the sphere of public policy differs from academic writing. Accordingly, this course challenges students to convey critical thinking by anticipating readers’ needs and the perspectives of stakeholders in the practice of shaping public policy. The writing skills integral to this process include: developing essential and persuasive content, communicating complex ideas, organizing information, targeting diverse audiences with varying levels of expertise and roles, ensuring clarity, moderating tone, and maintaining format norms. Students will analyze real-world documents relevant to careers in public policy, craft strategic quotes for news releases, as well as write policy one-pagers and memos. Writing resources and sample documents (e.g. fact sheets, one-pagers, policy briefs and memos, press releases, proposals for funding, etc.) will be provided.",
Strategic Presentation Skills,90718,6," Achieving career success requires the ability to successfully meet a wide range of communication challenges – convincing stakeholders to take action, working the room at networking events, motivating project teams, fielding tough questions from clients and/or the media, facilitating meetings in ways that foster open conversation and collaboration. In short, today’s leaders must convey their messages clearly, confidently, and persuasively. Whether you’re looking for a job, seeking a promotion, preparing to pitch a new technology, or simply looking to have your voice heard, Strategic Presentation Skills will give your ideas the force and credibility they need in today’s marketplace. Topics include: conducting stakeholder analysis, managing speaking anxiety, speaking confidently and concisely at job interviews, designing slides that maximize visual appeal and speed up information sharing, identifying and implementing effective persuasive strategies, using elements of voice and body to establish presence and credibility in front of a live audience, and using narrative to engage listeners. This course assumes basic proficiency in English and is aimed at both novice and more experienced speakers.",
Physical Technical Systems I,90719,12," Information: May be taken to fulfill Systems Synthesis requirement (second year only) Physical Technical Systems introduces students of public management to important technological issues which they will face in their professional careers. The course focuses on research and presentation of formal oral and written reports. Students learn how to identify a problem, structure and analyze the problem, and generate conclusions and recommendations in much the same way that they would as policy analysts or managers. Students work with a client or decision maker. In addition to building research and problem-solving skills, students gain practice in working as part of a professional team operating in a research environment that addresses technical, social, and political issues. For this reason, Physical Technical Systems courses are undertaken jointly with the Heinz School, the Department of Engineering and Public Policy, and Department of Social and Decision Sciences. Every Physical Technical Systems course addresses a different real-world problem, often for a real client. To learn the topic(s) for next semester, as well as topics from the last few years, see http://www.cmu.edu/epp/prospective/undergraduate/epp-project-courses",
Physical Technical Systems II,90720,12," Information: May be taken to fulfill Systems Synthesis requirement (second year only) Physical Technical Systems introduces students of public management to important technological issues which they will face in their professional careers. The course focuses on research and presentation of formal oral and written reports. Students learn how to identify a problem, structure and analyze the problem, and generate conclusions and recommendations in much the same way that they would as policy analysts or managers. Students work with a client or decision maker. In addition to building research and problem-solving skills, students gain practice in working as part of a professional team operating in a research environment that addresses technical, social, and political issues. For this reason, most Physical Technical Systems courses are undertaken jointly with the Heinz School and the Department of Engineering and Public Policy.",
Health Care Management,90721,6," This course introduces students to the knowledge and skills required to strategically manage the rapidly changing internal and external environment of health care organizations. Through readings, lectures, class discussions and case reviews, the course is designed to provide students with a foundation in contemporary health care organizational structures and management practices. Students will explore problems and decisions facing health care executives in areas such as clinical quality, organizational effectiveness, efficiency, growth, stakeholder conflicts, provider incentives, margin versus mission tradeoffs, human resources, strategic planning and the like, all in a highly complex political environment. A primary theme of this course is the application of ethical management practices as codified in the American College of Healthcare Executives’ Code of Ethics. By providing a general overview of the responsibilities of health care leaders and managers, students will have a contextual reference for the application of future coursework.","Learning Outcomes: Upon completion of this course, the student will be able to: 1. Delve into the primary components and functions of health care provider organizations 2. Assess the unique challenges involved in managing complex health care organizations 3. Appraise the motivations and interests of key internal and external stakeholders and the role of the health care executive in managing expectations and communicating with these stakeholders 4. Weigh common problems and decisions faced by health care managers, and explore the implications of various alternative strategic solutions 5. Adopt professional, ethical approaches to decision-making in order to respond to complex problems facing health care executives"
Management Science I: Optimization and Multicriteria Methods,90722,6," This course, along with its companions (90-760 Management Science II: Decision and Risk Modeling, 94-833 Decision Analysis and Multi-Criteria Decision Making, and 95-760 Decision Making Under Uncertainty) are introductory courses in analytics and management science that survey a variety of hands-on quantitative and modeling methods useful to decision makers and analysts. 90-722 focuses on optimization models and methods. Normally Heinz PPM, HCPM, MBTM, and MEIM students take 90-722 & 90-760, whereas MISM students take 95-760 which pulls examples from the information systems context. Both tracks feed into 94-833, although students with a strong quantitative background can take 94-833 in the first year; none of the other courses are actually a prerequisite for 94-833.","Learning Outcomes: These courses have four objectives. First, you should become as comfortable working with spreadsheets, spreadsheet tools, and various add-ins as you already should be with word processors. By the end of the course, firing up Excel to model and solve a quantitative problem should be second nature. This skill will be a significant asset on the job market and in your career. Second, you should learn about a variety of techniques, what they are capable of, and what their limitations are so that you can intelligently call upon management science specialists and consultants when the occasion arises. Third, you should acquire sufficient proficiency with some of the techniques that you can use them as an “end user modeler”. Fourth, you should learn how to approach, abstract, and analyze problems from a quantitative, analytical perspective. In short, you should be able to use the language and perspective of mathematical modeling. In most lectures we will work through a small “case” to help you connect the methods to a problem that is richer than the typical end of chapter problem."
Financial Statements and Analysis of Companies,90723,6," This course provides an overview of how managers, investors, creditors, and other parties use financial information to assess the financial and operating performance of companies. The first part of the course looks at how a company's transactions are measured, recorded and presented to stakeholders. In the second part of the course you will use the Annual Report and Form 10-K that is prepared by publicly held companies to evaluate and analyze the financial status of a company for which you have no information except the annual published financial report or financial statements.","Learning Outcomes: At the end of this course, you should be able to: - Prepare a Balance Sheet and Income Statement for a simple organization - Given the Balance Sheet, Income Statement, Statement of Cash Flows and other information in an actual organization’s audited financial statements, compute relevant ratios and analyze the Financial Condition and Operating Position of the company or NPO. - Locate financial and other related information for companies in their Annual Report and 10-K"
Financial Analysis,90724,12," This course provides an overview of how managers, investors, creditors, donors, foundations, and other parties use financial information to make decisions in organizations. It includes tools of both financial and managerial accounting. Unit 1 focuses on the financial reports and analysis of the financial position and the operating results of business organizations. You will learn several techniques such as common sizing, trend analysis and ratio analysis to help you analyze an organization for which you have no information except the annual published financial report. Exam #1 will be given at the end of Unit 1. The second part of the course, Unit 2, looks at the financial reports of organizations in the private (non-government) not-for-profit sector. We will compare and contrast the reporting and analysis of these NPOs with that of businesses, and discuss the needs for different information and performance measures in the private not-for-profits. Exam #2 will be given at the end of Unit 2. In the last unit, Unit 3, we look at organizations not as an outsider (investor, donor, creditor), but instead as a manager inside the organization. You will learn how to use several financial tools available to managers such as budgets, decision making tools, and break even analysis, and how to predict or measure the financial impact of different alternatives. This is often referred to as managerial accounting. The final exam covers the material in Unit 3.","Learning Outcomes: At the end of this course, you should be able to Prepare a Balance Sheet and Income Statement for a simple organization Given the Balance Sheet, Income Statement, Statement of Cash Flows and other information in an actual organization’s audited financial statements, compute relevant ratios and analyze the Financial Condition and Operating Position of the company or NPO. Locate financial and other related information for companies in their Annual Report and 10-K Locate financial, governance and accountability info for NPOs in their Form 990 and AFS Prepare a simple formula-driven budget in Excel and revise the budget to meet the specific organizational and board requirements Apply decision making, discounted cash flow, breakeven and other tools to determine the financial effect of operating and capital investment decisions"
Management Accounting,90725,6," Information provided by external financial reporting (financial statements) is compiled too late and is too aggregated for managers to use in making strategic decisions. However, this same accounting information can be accessed, disaggregated and analyzed to get the information necessary for strategic planning. Purpose: The purpose of this class is to familiarize students with the language and techniques of managerial accounting and to develop and sharpen analytic abilities. This course focuses as much as possible on the practical application of managerial analysis. Students will learn the key analytical skills for both planning and evaluating past performance. This course relies heavily on performing calculations (number crunching) and interpreting the results. Material is presented in a combination of lecture and modeling cases. It is assumed that participants have a general knowledge of accounting as well as a basic knowledge of Excel. Format: The sessions each week are generally divided into two parts, lecture and a lab in which students implement managerial accounting techniques by developing models in Excel. Homework assignments will ask students to evaluate a business situation, make, and support their decision based on their analysis.","Learning Outcomes: Objectives of the course: • Master common managerial accounting techniques like Cost Volume Profit Analysis, Product and service costing and the impact on pricing, overhead allocation, Activity Based Costing, budgeting and performance analysis and long term Investment decision making.. • Make and communicate recommendations that are supported by relevant data. • Develop skills to build flexible financial models and to use sensitivity analysis to evaluate opportunities and deal with problems skillfully."
Money & Politics,90726,6," Money threatens to overwhelm the American political system, as the ""cost"" of running for public office rises in each subsequent election. Add the money spent to influence the passage of legislation and the conduct of government, and you have a system awash with dollars. The 2000 elections for President and the U.S. Congress, once again, set new records, as more than $3 billion were pumped into the political system. Beyond the campaigns, millions are spend each year by companies, unions, and special interest groups to lobby and otherwise affect decision-making at all levels of government. Raising and spending money by elected officials and those who seek to influence them has become an indelible part of the American governmental process. This ""mini"" course examines the role money plays in both election to public office and subsequent policy-making, the current rules that govern the actions of those who want to affect governmental outcomes, and the various proposals to reform the effect of money on the political and governmental process.","Learning Outcomes: When the course concludes, the student will have heard directly from lobbyists, campaign managers, and candidates about the importance of money and the kinds of reforms that might be useful. The goal is to have each student both understand the current process and then think critically about the many proposals offered to reform the impact of money on our current system of campaign finance and policy-making."
Introduction to Database Management,90728,6," Databases provide a powerful tool for any policy analyst and are the information backbones of organizations of all kinds. This course introduces the relational database model, entity-relationship diagrams, data flow diagrams, structured query language by example, forms, and macros using the Microsoft Access database package. Applications include data import cleaning and aggregation for policy analysis and database systems for delivery and management of services.",Learning Outcomes: Formulate basic and advanced relational database queries using a query tool such as Access’s Query by Example. Create database queries using Structured Query Language (SQL) Describe the rationale for the basic design principals of relational databases such as referential integrity and foreign keys. Interpret an entity relationship diagram for an existing relational database including participation and cardinality. Create an entity relationship diagram based on an organization’s data and business rules. Create a physical relational database design based on an entity relationship diagram. Design and implement simple customized database user interfaces including forms and reports using a development tool. Use macros to automate the use of Access and Excel for data analysis.
Methods Of Policy Analysis,90730,12," PREREQUISITES This course is designed for students at the Heinz College School of Public Policy and Management who have skills equivalent to those taught in the School’s core courses in economic analysis, statistical methods, management science, financial analysis, organizational design, policy and politics, and professional writing. In particular, a good understanding of economics and statistics, and an understanding of American government institutions and programs, will be required to understand most of the class discussions and readings. Students will need to utilize principles and methodologies from all of these disciplines in carrying out some of the assignments for the course. OBJECTIVES If you successfully complete this course, you will: 1. Have an in-depth understanding of several complex policy issues in diverse substantive areas. 2. Understand the major steps in the policy analysis and development process, including (a) how and when policy issues become important, and (b) how policy initiatives are developed, analyzed, presented, implemented, evaluated, and terminated. 3. Understand a number of common pitfalls in policy analysis and how to avoid them; 4. Improve your ability to think critically about policy issues, think creatively and analytically about alternatives for addressing the issues, and think practically about successful implementation of recommended alternatives. 5. Develop experience in doing both quick turnaround and in-depth policy analyses on complex policy issues. 6. Improve your skills in communication of policy analyses to decision-makers. 7. Understand what it is like to work as a policy analyst in a government or civic agency and what techniques can be used to increase your effectiveness in that role. Successful policy analysis in real-world settings is far more than being able to collect data, run regressions, use optimization models, or identify market failures. It involves: - anticipating issues that will need analysis; - determining whether problems are real and what is causing them; - defining and prioritizing the goals to be achieved in addressing the problems; - developing creative alternatives to address the problems; - carrying out accurate and complete analyses of the impacts of alternatives, including consideration of qualitative and political considerations; - developing recommendations that can be implemented effectively; - presenting analyses and recommendations both orally and in writing in ways that will actually influence decisions; - resolving ethical dilemmas in conflicting roles; and - in general, confidently applying critical thinking skills. Rather than defer the development of these skills to the ""school of hard knocks"" (i.e., a real policy analysis job), this course is designed to teach you some key principles which can provide guidance in carrying out policy analyses, and also to provide some practical experience in applying those principles to realistic policy problems. The course will provide an understanding of how public policies are actually developed, analyzed, and implemented, and of the role of the policy analyst at each of these stages. The examples used will primarily be real-world cases, with all the complexity that implies. Although this is called a ""methods"" course, the primary “methods” it will teach are strategies for thinking critically and creatively about public policy problems and solutions and ways for helping government leaders to make good decisions about public policies. Statistics, econometrics, operations research, financial analysis, and other sophisticated analytical tools are taught in depth in many other courses at the Heinz College and elsewhere at Carnegie Mellon; the Methods of Policy Analysis course is not intended to teach more of these types of methodologies. Instead, this course is focused on enabling students to apply appropriate analytic tools to real-world problems within real-world constraints on data and time. During the course, you will learn by doing analyses yourself and by discussing how to analyze problems in class, rather than (merely) reading books or articles or listening to lectures. You will examine several different complex policy problems in depth, and you will jointly (through class discussion) and individually (through assignments) assess the importance and causes of these policy problems, develop alternative approaches for addressing them, evaluate the impacts of those alternatives, and grapple with the complex and often conflicting considerations involved in making recommendations for action. The specific policy problems have been selected to expose you to a range of substantive areas (e.g., criminal justice, economic development, education, energy, environmental protection, health, and human services) and to a range of generic types of public policies (e.g., regulations, entitlement programs, incentives, etc.). One of the goals of the course is to demonstrate that the ideas, techniques, and experience in one substantive area can provide important lessons for tackling problems in other, seemingly very different substantive areas, and consequently that there is a benefit to learning about and doing policy analyses on issues in diverse areas. Moreover, even if you intend to focus your career on policy issues in a particular area, the job market may not cooperate during the early stages of your career; consequently, many students have found it valuable to develop some knowledge and experience in policy areas beyond those in which they are primarily interested. The course will also examine in depth each of the stages in the policy analysis process, beginning with the factors that determine which policy problems will be dealt with by policy-makers, and continuing with some of the principles and pitfalls involved in analyzing problems,developing and analyzing alternatives, and implementing policies and programs in a political environment. These discussions will draw on a wide range of policy examples and detailed cases that demonstrate the principles being discussed. The topics discussed in class are limited to U.S. domestic policy issues. Foreign policy and defense policy issues are not discussed, although the approaches to analyzing problems taught in the class will be applicable to many aspects of these issues. Since the cases and assignments deal with U.S. domestic policy issues in some depth, you need to have a reasonable degree of familiarity with U.S. federal, state, and local government institutions and programs to understand the class discussions and successfully carry out the assignments. International students without this level of understanding may experience some difficulty and they will likely need to spend extra time doing background research on the topics. Effective written and oral communications are essential skills for a policy analyst. The ability to clearly and convincingly convey the results of an analysis to a decision-maker can make the difference between whether an analysis has an impact on policy or is ignored. Poor grammar, confusing style, and typographical errors in written materials can do as much or more to reduce the credibility of an analysis as inaccuracies in calculation or improper use of quantitative methodologies. Consequently, in the assignments in the course, you will be expected to produce well-written memoranda and other materials. A significant portion of the grade for each assignment will be based on the quality of your writing and the thoroughness of your proofreading, and failing grades will be given to assignments that are difficult to understand or have been poorly proofread.",
