name,company,company_review,est_salary,location,description
Internet Sales Consultant,Penske Automotive Group,3.9 ★,,"– Mentor, Ohio","Are you looking for a challenging career in a well-established and successful Fortune 500 company with excellent benefits and competitive pay?

Honda of Mentor, a Penske Automotive Group dealership is looking for Internet Sales Professionals responsible for maintaining and building excellent customer relationships focusing on delivering an ""EXCEPTIONAL"" customer experience.

Automotive experience is NOT required! If you have experience in any industry providing superior customer service, please apply. We will train the right candidate!

If you are looking for a satisfying career as a Sales Associate with unlimited opportunities and a tradition of honesty and transparency, then we would like to talk to you! We offer a professional environment, ongoing training and growth with performance-based advancement.

At Penske, we cultivate a winning team spirit and promote passion for quality.
Our Team Members are the driving force behind our success.

Join our team by APPLYING TODAY!

Penske Automotive Group is an equal opportunity employer and maintains a drug- and alcohol-free workplace. All applicants must possess a valid driver's license and have a good driving record.

Benefits :
Medical/Dental/Vision
Advancement Opportunity
401K
Positive Working Environment

Sales Consultant, Sales Associate, Salesperson, Sales Representative, Sales Rep, Customer Service, Sales, Automotive, Auto, Brand Manager, Car Sales, New, Used, Retail, Product Specialist, Account Representative, Account Rep, Business development, marketing, gross, incentive, commission, sales, unit, units, margin, profit, spiff, bonus, energy, high energy, phone, phone skills, communication, store, automotive retail, retailer, vehicle, vehicles, test drive, drive, products, features, explain, engage, assist, CSI, customer satisfaction, OEM, lease, upsell, up sell, up-sell, follow up, leads, lead, consumer, experience, automotive sales, auto sales, salesperson, salesman, saleswoman, sales rep, sales associate, selling, inside sales, outside sales, commissioned sales, account executive, AE, retail sales, real estate sales, media sales, communications, hospitality industry, hotel industry, bartender, waiter, waitress, entry level, business development representative, jewelry sales, boat sales, motorcycle sales, RV sales, recreation vehicle sales, mobile home sales, appliance sales, biz dev, new grad, new graduate, quota.

Apply Now: click Apply Now"
Entry Level Packaging Consultant (Outside Sales),Acme Corrugated Box,3.5 ★,,"– Philadelphia, PA","Summary:

This is a sales position with the primary responsibility of identifying new prospects, soliciting, selling, and implementing Acme Corrugated Box Co. Inc.’s products and solutions to companies within a 200 mile radius of our manufacturing facility in Hatboro, PA. In addition to new business acquisition, the Packaging Consultant will work towards strengthening the business relationship and maximizing the penetration opportunities of existing clients.

PC will be engaged in Sales Activities outside the office, face-to-face, including but not limited to, creating relationships with decision makers, influencers, end users, current buyers and new prospects within an organization. Directs account sales strategy and sells Acme’s value proposition to meet buyer needs. Sales activities also include selling into existing clients to further penetration Acme’s share of business.

Required Skills/Abilities
Prospecting/ Lead Generation
Keen understanding of the sales process/sales cycle and how to manage clients and prospects through that cycle
Disciplined Sales Approach
Thorough grasp of consultative selling skills and a history of successful negotiations. The close cycle ranges from 1 month to several years
Demonstrated understanding of the client relationship process
The ability to learn quickly, understand and navigate an organization at upper and lower levels
Excellent communication skills- oral, written and verbal
Learn technical aspects of Corrugated Industry, our manufacturing process, capabilities, and specifications
Pipeline Management and client management through utilization of a CRM
Prepare budget/annual forecast
Education/Experience:

College degree REQUIRED

1-3 years Business to Business Sales Experience, Manufacturing /Distribution Sales Preferred

Valid Drivers License

LANGUAGE SKILLS

Ability to read and interpret documents such as sales reports, operating instructions, and training and procedure manuals. Ability to write reports and correspondence. Ability to speak and communicate clearly and effectively.

MATHEMATICAL SKILLS

Ability to calculate figures and amounts such as discounts, costs, proportions, percentages, and volume.

REASONING ABILITY

Ability to apply common sense understanding to carry out instructions furnished in written, oral, or graphic form.

PHYSICAL DEMANDS

Employee is regularly required to walk and talk and hear, stand, and sit. Vision requirements include: close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.

WORK ENVIRONMENT

The work environment characteristics described here are representative of those an employee encounters while performing the functions of this job.

While performing the duties of this job, the employee is frequently exposed to wet and/or humid conditions, moving mechanical parts, and fumes or airborne particles. The noise level in the work environment is usually loud.

In addition, the employee frequently drives to and from customers and prospects and may experience hazardous driving conditions.

PERFORMANCE MEASUREMENTS

The performance of the Packaging Consultant will be measured as follows:

Operating standards - The employee will need to meet or exceed the Operating Standards set in the area of sales and customer service. Such standards will be set annually and communicated to the representative.

Personal growth - Each year there will be professional goals developed and agreed to by the representative and supervisor.

Employee relations – The employee will be evaluated regarding behaviors associated with appropriate human interaction, respect and communication.

Creativity - This will be evaluated by how active the employee is in participating in advancing the business through new and innovative ideas.
Apply Now: click Easy Apply"
Sales Consultant Entry Level,DMC Atlanta,4.0 ★,,"– Marietta, GA","Entry Level Sales Consultant

DMC Atlanta is hiring for 3 entry level Sales Consultant positions. The Sales Consultant position includes paid and ongoing training, full-time (40 hours a week), and the best part, EXPERIENCE in sales and business development!

DMC Atlanta's WHY

Every person deserves the opportunity to be as successful as they want to be - provided they are willing to do the work and make the personal changes that are required.

DMC Atlanta has recently expanded to include 59 offices in twenty states and plans to double in size again within the next year. We have a proven track record in B2B sales and have recently signed a MAJOR national account that requires us to hire for entry-level RETAIL marketing & sales positions with RAPID, merit-based advancement opportunity for qualified candidates.

Here at DMC Atlanta, we pride ourselves on providing clients with a personal, professional approach to promotional marketing and customer acquisition. Our talented team of marketing professionals represents our clients with unparalleled integrity to the business community. In order for our organization to prosper, we are aggressively seeking talented, enthusiastic individuals who are searching for an opportunity to quickly work their way from ENTRY-LEVEL into a position in MANAGEMENT (if qualified), overseeing campaigns for our clients and managing a staff of 15+ employees. Our company strongly believes in developing our people into the future leaders of our organization.

Our Company Offers:
Outstanding Performance Based Growth Opportunities - for qualified candidates
Paid Training
Amazing Team-Focused Environment
Base Plus HEAVY Commission Compensation Package
Our Management Development Program offers an exciting opportunity for qualified candidates to learn all aspects of our business from the ground up.

Responsibilities in this program include:
Sales / Marketing
Team Leadership
Sales Training
Human Resources
Marketing Strategies and Sales Techniques
Oversee Campaign Development
Manage Customer Service, Administration, and Sales People
We provide full training for the right candidates. This position is paid on a combination of base, commission, and bonuses. No outside sales or telemarketing are involved.
Start your job application: click Easy Apply"
"Consultant, Business Performance Analytics",Travelers Companies,3.9 ★,$58k-$96k(Glassdoor est.),"– Hartford, CT","Company Information
Solid reputation, passionate people and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.

Job Summary
Positions within this family explore and profile data, draw business inferences, complete analysis and clearly articulate findings for a target audience. This position performs accountabilities under general supervision. Position is an entry level role into the Descriptive Analytics function, in limited Descriptive Analytics experience or business experience in related field. Position accountable for performing less complex core tasks of Descriptive Analytics (the exploration and investigation of past business performance), partnering with team members on more complex tasks.
This role will be dedicated to expanding and improving Auto Emerging Issues, helping with the workforce management of the line across all roles/offices. Responsibilities will include producing weekly reports and analyzing workflow, interacting with Auto leadership, and recommending optimal resource alignment. This role includes fostering collaborative relationships with a number of stakeholders both inside and outside Auto Product
The ideal candidate should have the ability to identify and analyze trends; demonstrate proficiency in technical skills especially within MS Excel and PowerPoint; strong communication skills; accountable to work independently and also with a team in a fast-paced environment; ability to adapt to change quickly.
This job does not lead others. Definition of General Supervision: incumbents are told what to do, but not how to do it. Incumbents have some discretion on work accountabilities.

Primary Job Duties & Responsibilities
Applies descriptive analytics to analyze data and validate assumptions. Selects appropriate relevant data and extracts from various internal and external sources. Manipulates raw data sets into information fit for analysis applying needed logic. May require additional information from subject matter expert. Presents analysis and recommendations to team members and manager. Contributes to development of reporting to monitor business critical results. Partners with team members to monitor data to recognize patterns and analyze trends. Provides required analysis, partnering with team members as needed. Applies established best practices to Descriptive Analytics assignments. Participates in the peer review process. Manages assigned less complex projects under general guidance of manager and/or team members.

Minimum Qualifications
Bachelors degree or equivalent education required.

Education, Work Experience & Knowledge
Bachelors degree in STEM (Science, Technology, Engineering, Mathematics) preferred. 2+ years of analytics or related experience preferred. 2+ years working successfully with Microsoft office products or similar products preferred. Working knowledge of analytic concepts. Experience with Descriptive Analytic practices and processes. General business knowledge preferred. Working knowledge of Insurance products/concepts preferred. Experience working on teams. Working knowledge of the main features of the collection of data and the relationship of data elements to each other. Working Knowledge: Understands basic principles and terminology in order to understand and solve simple problems).

Job Specific & Technical Skills & Competencies
Working understanding of the business functions of businesses supported. Demonstrated intermediate analytic and diagnostic skills. Demonstrated intermediate interpersonal skills. Demonstrated intermediate communication skills Ability to work independently and as part of a team. Intermediate project management skills Working understanding of the business functions, processes, and overall business strategies Desire to see tasks to completion. Intermediate Computer Skills in Excel and basic skills in database programming language and/or related applications Intermediate problem solving and decision making skills Definition of Basic skill/competency level: demonstrates basic knowledge and ability; can apply the competency in common/familiar situations that present limited difficulties. Definition of Intermediate skill/competency level: demonstrates solid knowledge and ability; can apply the competency with minimal or no guidance, in the full range of typical situations. Requires guidance handling novel or more complex situations.

Physical Requirements
Requires extended periods of computer use. Requires extended periods of sitting.

Equal Employment Opportunity Statement
Travelers is an equal opportunity employer.
Apply Now: click Apply Now"
Entry Level Business Consultant,Reynolds and Reynolds,3.1 ★,$53k-$86k(Glassdoor est.),"– Houston, TX","Are you customer focused, resourceful, and looking to start your career with a leading provider of automotive retailing solutions? Then consider joining our team! Reynolds and Reynolds, one of the top providers of premium integrated computer solutions for automotive dealerships, is seeking Business Consultants to join our growing team of professionals in Houston, TX.
As an Entry Level Business Consultant, you will be responsible for providing high level customer service and software utilization consulting to our dealership customers. Functioning as a consultant, you will be responsible for providing support for our new products, with the ultimate goal of helping our customers realize maximum value from the software tools they have purchased. Most of this consulting will be done over the internet via video-conferencing technology. You will be able to analyze the customer’s software usage and target specific tools and solutions to maximize their operational effectiveness.
You will begin with an intensive five (5) month paid training program located at our office in Houston, TX. Training for this role will consist of combined classroom instruction and online courses. The courses consist of in-depth product training as well as automotive industry knowledge. You will also be partnered with a mentor to train in the field where you can apply your classroom knowledge in a real-world setting. Throughout training you will participate in Role plays, Demos, and Case Studies with plenty of real world examples.
After your training, you will split time between the Houston office and your home office. When working from home, you will perform the video-conference customer meetings and when working from our office, you will work on training and departmental improvement projects.
REQUIREMENTS:
Bachelor’s Degree
Must be a self-starter with good time management skills
Strong written and verbal communication skills
Excellent customer service and organizational skills
Ability to build strong customer relationships
Ability to travel periodically (quarterly) for a week of customer visits
Living in or willing to relocate to Houston, TX area
BENEFITS:
We strive to offer an environment that provides our associates with the right balance between work and family. We offer a comprehensive benefits package including:
Medical, dental, vision, and life insurance
401k with 100% matching up to 6% of compensation
Referral bonuses with the opportunity to earn up to $7,000 per hire
Paid holidays, vacation, and sick days
Professional development and training through ‘Reynolds University’
Discounted membership to local area fitness centers
Company-sponsored events and sports leagues including: company picnic, softball, volleyball, bowling, and more!
Gourmet cafeteria, open for breakfast and lunch, that features a salad bar and a variety of made-to-order cuisine options
Opportunities to participate in charitable endeavors, such as our annual Bike Build for local military families, participation in the Reynolds Associate Foundation, company sponsorship in local charity 5k Run/Walks, and other volunteer opportunities


ABOUT OUR COMPANY:
Established in 1866, Reynolds and Reynolds offers the Retail Management System – a complete suite of products and services for automotive dealerships. Reynolds solutions are built as one, to work as one, for all areas of the dealership. While headquartered in Dayton, Ohio, Reynolds has offices all over the world, employing more than 4,300 associates. We offer a variety of opportunities: Energizing projects, high-powered teaming, constant learning, and professional growth.
Reynolds and Reynolds promotes a healthy lifestyle by providing a non-smoking environment.
Reynolds and Reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.
Apply Now: click Apply Now"
Consultant,Mars & Co,3.0 ★,$123k-$164k(Glassdoor est.),– New York City Area,"Would You Like To Solve Interesting Strategic Problems For Leading Companies?

Company Description:

Mars & Co is a unique global player in the Strategy Consulting industry:
Over the firm’s nearly 40 year history, Mars & Co has provided customized strategic and operational expertise to many of the world’s largest and most recognized corporations on an industry exclusive basis (i.e., we only work for one client per industry).
Composed of over 200 consultants globally, our consultants have the opportunity to work across a broad variety of industries, business functions and geographies while benefiting from exceptional amounts of high-level client exposure and interaction.
From our seven offices in North America, Europe and Asia we continue to expand our roster of prestigious clients and develop some of the finest minds in the consulting industry. At Mars & Co, you immediately get the opportunity to help provide high impact strategic and operational assistance to an elite group of predominately Fortune 100-sized companies or their international equivalents. We have a hands-on learning environment that provides you with practical training and teaches you both valuable problem-solving and business skills which translate into any business environment. At Mars & Co individual initiative, creativity and analytical rigor are all highly prized and well rewarded.

Position Overview:

At Mars & Co, the Consultant is a demanding yet very rewarding entry level position for recent MBA graduates. Our Consultants are responsible for the rigorous, timely and imaginative design and execution of analyses leading to practical solutions of complex business problems. Qualified candidates possess superior analytical abilities, understand major business strategy concepts, are creative problem solvers, can learn new industries quickly and work well as integrated members of project teams. They are hardworking, entrepreneurial and self-motivated individuals. Consultants work on teams under the guidance of more senior members of Mars & Co staff. Successful Consultants will take on supervisory responsibilities for Associate and Senior Associate Consultants as appropriate. Once Consultants have demonstrated mastery of the Mars & Co “toolkit” they are considered promotable to the next position in the firm, Senior Consultant, and are on track to executive levels within the firm.

Prerequisites:

Candidates for the Consultant level position at Mars & Co have generally earned an MBA degree at a top tier business school and have meaningful relevant prior business experience. Most successful candidates have undergraduate degrees in Engineering, Mathematics, Economics or one of the physical sciences and prior work experience in a field requiring the use of quantitative analytical skills.

Mars & Co is looking for high achievers as demonstrated by superior academic performance at both the graduate and undergraduate levels. You are expected to be well skilled in the use of major analytical techniques and to already possess strong spreadsheet and database manipulation skills. A solid working knowledge of Finance, Managerial Accounting, Marketing, Operations and current business practices is expected. Furthermore, you are expected to possess excellent communications skills (both written and verbal) plus be able to excel in team-based environments. Mastery of a foreign language is not a requirement, but is advantageous.

Candidates should be well-balanced individuals with the following personal traits:
A high level of enthusiasm and an entrepreneurial drive to be successful in all undertakings.
Leadership ability and the ability to inspire confidence in others.
“Uncommon common sense” when it comes to solving problems and developing strategies.
The intellect to be a “quick study” in new situations.
The ability to apply cross-industry knowledge and experiences to new situations.
Creativity with the ability to think “outside the box” and create superior solutions to client problems.
A laser-like focus on solving problems and getting to the core of business issues quickly and efficiently.
A high degree of maturity and responsibility.
Job Responsibilities:

Consultants are integral members of project teams which range in size depending on the nature of the business issues being addressed. Typical project responsibilities for Consultants include:
Conducting research to obtain data and other useful information from a variety of sources.
Designing and performing analyses of data and information to yield meaningful insights. Core analytical areas include:
Market segmentation, quantification and growth forecasting
Financial performance
Cost, operational, supply chain optimization
Go-to-market and demand building effectiveness
Competitive assessments and benchmarking
Visualizing, interpreting and synthesizing analyses to yield valuable conclusions.
Applying strategic thinking to create useful options for addressing client issues.
Designing and preparing presentation materials for use with clients and staff.
Communicating methodologies, findings and recommendations to clients and staff.
Rapidly learning new business concepts and analytical techniques to apply to client issues.
Managing your project module which may include junior staff you could be supervising.
Career Development:

At Mars & Co, consultants are trained and developed primarily via on-the-job experience as members of project teams, supplemented by periodic seminars. The senior members of each team teach new consultants our analytical techniques required for making successful contributions to projects. Mars & Co’s global footprint also provides consultants opportunities to work with colleagues from our other offices in North America, Europe, and Asia, as well as the opportunity to travel to both domestic and international client sites thus learning about how businesses operate globally.

Mars & Co has a strict “promotion from within” philosophy. Consultants are considered for promotion to Senior Consultant once they have demonstrated their ability to add meaningful value to project teams and have mastered all the responsibilities of their position. Typically, high performing Consultants have achieved these milestones within 18 to 24 months of joining the firm; however there is no set pattern for promotion.

Compensation & Benefits:

Compensation at Mars & Co is based on personal performance and is competitive within the Strategy Consulting industry. Mars & Co provides a complete suite of benefits to its staff including: medical, dental, life and disability insurance, paid vacation, 401(k) plan with employer matching and sports club membership.

Recruiting Process:

To be considered for the Consultant position at Mars & Co, please submit your resume, cover letter and unofficial copies of your MBA transcript (if your school permits) plus other graduate and undergraduate transcripts. Applications will be reviewed on a rolling basis as they are received.

Depending on each candidate’s level of success, Mars & Co conducts up to three rounds of interviews: one over the phone and two on-site. Phone interviews will include general questions about your background and interest in both consulting and our firm. Each round of on-site visits will consist of interviewing with 2 or 3 members of our consulting team and will include case questions as well as general questions about your background and fit with the firm. During final round interviews candidates will have the opportunity to go to lunch with some of our consultants in order to learn more about the firm, our culture and the unique work we do.

For more information visit: www.marsandco.com/careers"
Consulting Associate (Junior),Arc Aspicio,3.2 ★,$61k-$84k(Glassdoor est.),"– Washington, DC (US)","Arc Aspicio is a strategy, management, and technology consulting firm that helps Government clients solve their most difficult mission challenges. Candidates join our consulting practice to work on mission-critical projects and quickly learn on the projects through formal training and by contributing to company growth. We are seeking long-term members for our close-knit team. In 2016, Consulting Magazine recognized Arc Aspicio as one of the Fastest Growing Firms in the country.

Consulting Associates (Junior) join our consulting practice, focus on mission-critical projects, and quickly learn to contribute to and grow the company. A junior associate typically has at least 1-3 years of work experience or directly relevant education or internships. They want a career in consulting, are entrepreneurial, learn quickly, and seek fast growth.

Consulting roles are primarily located in the DC Metro area. A minimal amount of travel is required. Consultants work on client project sites and in our office to enhance collaboration. Junior Consultants are typically 1-3 years out of a bachelor's degree.

Responsibilities include:
Work side-by-side with our clients to solve tough problems, delivering outstanding client service
Play a role in new business and supporting company operations, recruiting, and strategic initiatives
Use business and consulting skills to quickly identify problems, analyze challenges, and recommend solutions to team and our clients
Produce high quality work products and new solutions quickly on complex projects
Be a part of our learning culture, where people put team, client, and company interest ahead of their own
Required Qualifications:
1-3 years of full-time work experience including directly related experience, education, or internships in consulting (Entry level candidates considered if the candidate has directly applicable internships)
Proven skills in developing and maintaining relationships
Entrepreneurial spirit/interest in working in a fast-growth consulting firm
Excellent work ethic in a dynamic and challenging environment
Loves to solve problems, likes to work in a dynamic environment
Eager to learn and share knowledge and is self-aware on where they need to grow and improve
Outstanding communications skills, writing and verbal
Self-motivated, and demonstrated ability to take on more responsibility quickly
Bachelor’s degree, minimum (Master's degree preferred)
Desire to join a firm and team, take advantage of training opportunities, and stay for the long-term
Ability to obtain a security clearance
US Citizenship required (no dual citizenship)
Our recruiting process is very competitive. Therefore, we ask that you submit a brief, tailored cover letter to tell us what you are looking for in a company and why you would be a great fit for a consulting firm.

Equal Opportunity Employer/M/F/D/V"
Solar Energy Consultant,Alternative Solar,,Employer Provided Salary:$12-$17Per Hour,,"Alternative Solar is excited to add 2-5 new entry-level solar sales consultant positions to our New Braunfels office. Are you enthusiastic about earning an income in solar energy and helping homeowners save money on their bills? Alternative Solar provides a diverse and energetic culture that enjoys celebrating success and are dedicated to creating sales leaders. We are looking to build a relationship with the right people, offering career advancement opportunities, training, accountability to increase success, and a focus on helping you in every way that we can. Training will be determined by your prior experience and knowledge of the industry. We are looking for go-getters who have no fear talking to anyone!

Responsibilities:
Generate leads by prospecting
Fully understand the solar industry - We will train you!
Attend Regular In-Office Sales Meetings
Stay in constant communication with Sales Managers
Requirements:
Strong desire for a long-term successful career within the renewable energy industry
Available to work evenings and weekends
Must attend all training and weekly team meetings
Driven attitude
Personable personality
Must have transportation
Must have smartphone
About Alternative Solar:

Alternative Solar is a veteran owned and operated solar solution company based in San Antonio Texas. Our focus is to provide cost-effective and renewable energy solutions for residential and commercial users, providing the tools and knowledge for long-term fixed energy costs as well as independence from “big” energy corporations. Alternative Solar helps our customers power their future.

Please submit your resume and a brief explanation as to you why you are the perfect fit for this position

Entry level will make a minimum of $150 a week, for the first 6 weeks after training is completed.

No caps on commissions.

Average consultants make about $5000 a month

Superstars make upwards of $20,000 a month

Build a team and make even more money!!!
Apply Now: click Easy Apply"
Entry Level Junior Consultant,The Chemistry Group,3.4 ★,,"– New York, NY","Consulting at Chemistry

It’s a hugely exciting time to join the US Consulting Team at The Chemistry Group. Every day we have the opportunity to deliver amazing projects for amazing clients, including Experian, House of Fraser, The Co-op, and SAP, and to create a name for ourselves as the place to go for accurate Talent Selection, Assessment and Performance tools for FTSE 100 organisations.

At Chemistry, we bring together the latest thinking in I-O psychology, high performance cloud technology and business expertise to deliver bespoke solutions aimed at transforming the way organisations work through people. We partner with our clients on their people strategies to deliver measurable competitive advantage no matter what market they work in. Through our award winning approach we guarantee you will have opportunities you would normally only dream about, working with an impressive list of clients and with plenty of opportunity to work directly with C level contacts. This might mean helping organisations work through strategic change or challenges by defining ‘What Great Looks Like’ in Talent, designing new recruitment processes, and providing team insight on capabilities and motivations.

We have been working globally since day one from the UK, and have recently expanded in to the USA - opening our California office in 2015, and our New York office in 2017.

Requirements

Who we need

Our Junior Consultants are hungry to learn and hell bent on creating magic with our clients through world-class delivery of our products. You will be here to make sure our clients feel like they are at the centre of the universe, but also to challenge and change how they bring out the best in their people.

A day in the life of a Junior Consultant is likely to include any of the following:

-Project management

-Supporting the design and delivery of client workshops and training sessions

-Designing communications

-Creating presentations to share insight to our clients about their business opportunities

Experience isn't necessary, we're far more interested in your future potential, so this role would suit a recent graduate.

Benefits

Great opportunities

When we say our intent is to give everyone the opportunity to be brilliant at work, of course we extend that to you.

That’s why we focus on our development and ensure that we provide each other feedback regularly to support each others continuous growth.

We also use quarterly OKRs to make sure your development is constantly on-going and in tune with the needs of the business. If you need to do something to progress and do your job better, we’ll make sure it happens.

And we love to develop and promote our own people, so if you make it through the door, we’ll make sure you have every opportunity to get where you want to go – all you have to do is take it!

Plus you'll wonder how you ever lived without the free beer on tap in the office!

Holiday

26 days holiday + 12 Bank Holidays"
Entry Level Consultant,NTT DATA,3.1 ★,$53k-$81k(Glassdoor est.),"– Washington, DC, US","Req ID: 31292

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Entry Level Consultant to join our team in Charlotte, North Carolina (US-NC), United States (US).

The Consultant is an entry-level Consulting position in the Financial Services practice. Consultants work as part of a client-facing consulting team to complete projects for clients and deliver excellent business value. They support more experienced Consultants in the planning and execution of projects for clients.

Successful applicants for this position will start in June 2019, as part of a Consultant start group. Participants will complete two weeks of training with their start group to prepare for their initial client engagements. All roles will be based in Charlotte.

After completing the Consultant Program training, Consultants will be assigned to project teams to

Analysis and Solution Definition

Assist project team in defining client’s problem.
May include market research, interviews with stakeholders, and/or other business analysis.
Project Execution

Contribute to client deliverables and project routines.
Establish responsible deadlines and personal work plans and manage time effectively.
Communication & Teamwork

Clearly articulates ideas and thoughts verbally, demonstrating flexibility, adaptability and accountability in day to day work.
Establish relationships with client at the appropriate levels, gains understanding of work and problems encountered. Uses good judgment in communicating with clients.

Experience/Competencies

0-3 years of work experience in a business setting
Financial services industry experience preferred
Prior experience in business analysis, project management, process management, and/or systems implementations a plus
Ability and willingness to travel 75-100%
Deep skills in Microsoft Office (Excel, PowerPoint, Word, Outlook)
Excellent problem solving and analytical skills; ability to break down complex problems and develop solutions
Achievement oriented showing sustained commitment and dedication to the end result
Strong client service orientation; demonstrated commitment to excellent client service
Demonstrated initiative to seek guidance and direction. Receptive to coaching.
Proven track record of self-development and personal growth
Ability to use and present data to influence others
Excellent written and verbal communications
Can manage through ambiguous situations and deal with difficult circumstances, remain composed, and communicate effectively to overcome issues
Experience in a matrix, team oriented, and collaborative work environment; excellent interpersonal and teaming skills
Strong sense of urgency and a high level of responsiveness

Basic Qualifications

Education/Certifications

Bachelor’s degree in business or related field
Finance and technology focused study preferred

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

Nearest Major Market: Charlotte
Job Segment:
Consulting, Program Manager, Project Manager, Business Analyst, Entry Level, Technology, Management"
Payroll Implementation Consultant,Paylocity,4.5 ★,$42k-$64k(Glassdoor est.),– Lake Mary / FL,"Experience and Skills:
Bachelor’s degree or an equivalent combination of education and experience preferred
Previous customer service or client interfacing role preferred
Computer skills, including familiarity with web-based applications and MS Office programs required; solid understanding of Excel is a plus
Excellent written and verbal communication skills, along with strong organizational and presentation abilities
Project management training and/or experience a plus
Solid time management and organizational skills
Strong analytical skills, attention to detail, dependability, and follow through
Willingness to perform a wide variety of tasks and projects under supervision
High customer service orientation with the ability to develop strong internal relationships
Ability to work in a fast-paced environment
Ability to effectively solve problems by finding and using key resources

Job Description:

We are looking for a Payroll Consultant with customer service experience and technical skills to assist new clients’ transition to their new payroll and human resources provider, Paylocity. If you are someone with computer skills, strong attention to detail, has mastered multitasking, and provides exceptional customer service, this is the right entry level opportunity for you.

Position Overview

Our Payroll Consultants are responsible for understanding small business client needs and configuring our applications to meet those needs. Duties begin with an in-depth consultative needs analysis, used to define system setup and configuration optimizing client time, efficiencies, processes and reporting. The Payroll Consultant will ensure accurate conversion of payroll and human resource data from clients’ previous providers, by balancing converted data to reports and tax returns and work cohesively with clients utilizing system output reports to confirm and test setup. Once data is successfully converted, the Payroll Consultant will provide first level support to our clients until their transition to our Client Services team. Paylocity is committed to providing our clients with a high level of service; this position is responsible for maintaining this commitment within our Implementation area.

Performance Objectives/Job Duties:
100% responsibility for a seamless onboarding experience for clients with simple complexity setups
Provide industry leading customer service
Use a project management and consultative approach to promote an integrated implementation across all products
Conduct an introduction call to verify contracted products, understand client priorities and craft a suggested timeline for the implementation of all products
Conduct an alignment call to answer product questions, collect payroll data for configuration, review data extracted information, confirm company related information and introduce subject matter experts who will assist with higher complexity products
Coordinate internally between the client and multiple Paylocity subject matter experts
Facilitate the entry of previous payroll provider data
Follow balancing procedures to ensure all converted data is accurate
Perform quality assurance checks to ensure all setup work has been completed accurately, review reports and support clients for initial processing of payroll
Lead client meetings
Some travel up to 5% required
All other duties as assigned

Apply Now: click Apply Now"
